Borough,MedIncome,Latitude,Longitude
Adalar,47034,40.8619,29.1208
Arnavutkoy,13540,41.1956,28.7352
Atasehir,33405,40.9831,29.1279
Avcilar,14689,40.988,28.717
Bagcilar,19560,41.045,28.8338
Bahcelievler,18294,40.9976,28.85
Bakirkoy,45200,40.9835,28.8679
Basaksehir,19200,41.0969,28.7718
Bayrampasa,20902,41.0477,28.8992
Besiktas,47909,41.0469,29.0078
Beykoz,40320,41.0936,29.0879
Beylikduzu,16704,40.9847,28.6425
Beyoglu,28499,41.03,28.9748
BuyukCekmece,18000,41.0198,28.5664
Catalca,14400,41.1428,28.4616
Cekmekoy,18120,41.0423,29.1778
Esenler,17840,41.054,28.8722
Esenyurt,23034,41.0316,28.6622
Eyup,37040,41.0547,28.9343
Fatih,23490,41.0145,28.9486
Gaziosmanpasa,23404,41.0624,28.9116
Gungoren,18340,41.0207,28.8748
Kadikoy,43393,40.989,29.0337
Kagithane,19340,41.0856,28.9817
Kartal,21340,40.9073,29.2084
KuCukCekmece,24584,41.0022,28.7856
Maltepe,24859,40.9256,29.1305
Pendik,19484,40.8841,29.2511
Sancaktepe,24040,40.9911,29.2276
Sariyer,45930,41.1649,29.0458
Silivri,17490,41.0691,28.2544
Sultanbeyli,18440,40.9646,29.2732
Sultangazi,35048,41.1022,28.8735
Sile,39493,41.1728,29.6139
Sisli,21349,41.0595,28.9879
Tuzla,28430,40.8268,29.3028
Umraniye,34203,41.0345,29.1002
Uskudar,20394,41.0242,29.0199
Zeytinburnu,39404,40.9903,28.8961
