County,MedHHIncome,Population,NumHH,Lat,Long
Bernalillo,47481,662564,266000,35.0178,-106.6291
Catron,31914,3725,1787,34.1515,-108.4276
Chaves,37524,65645,23691,33.4757,-104.4723
Cibola,37361,27213,8860,35.0948,-107.8584
Colfax,39216,13750,6011,36.58,-104.4723
Curry,38090,48376,18015,42.5441,-124.2782
De Baca,30643,2022,912,34.2734,-104.3792
Doña Ana,36657,209233,75532,32.4858,-106.7235
Eddy,46583,53829,20411,32.4171,-104.4723
Grant,36591,29514,12586,32.9691,-108.2378
Guadalupe,28488,4687,1766,34.8236,-104.8455
Harding,33750,695,349,35.8926,-103.8216
Hidalgo,36733,4894,1936,31.9355,-108.7126
Lea,43910,64727,22236,32.8969,-103.3587
Lincoln,43750,20497,9219,33.8853,-105.4068
Los Alamos,103643,17950,7663,35.8496,-106.3228
Luna,27997,25095,9593,32.3259,-107.8584
McKinley,31335,71492,21968,35.7152,-108.2378
Mora,37784,4881,2114,35.9742,-105.3301
Otero,39615,63797,24464,32.6342,-105.5943
Quay,28773,9041,4072,34.957,-103.7289
Rio Arriba,41437,40246,15768,36.6163,-106.7235
Roosevelt,37762,19846,7299,33.9538,-103.3587
Sandoval,57158,131561,47602,35.60221,-106.7235
San Juan,46189,130044,44404,36.3882,-108.2378
San Miguel,32213,29393,11978,35.5118,-104.8455
Santa Fe,52696,144170,61963,35.3654,-105.97
Sierra,25583,11988,5917,33.1346,-107.1012
Socorro,33284,17866,7014,33.8837,-106.7235
Taos,35441,32937,14806,36.4359,-105.5943
Torrance,37117,16383,6264,34.6784,-105.97
Union,39975,4549,1695,36.3724,-103.3587
Valencia,42044,76569,27500,34.6744,-106.6291
