County,Latitude,Longitude,MedianIncome
Harding,35.8631519,-103.8299311,30875
Sierra,33.119479,-107.1881607,30451
Lea,32.7956865,-103.4132707,59797
Guadalupe,34.8697822,-104.7849677,24085
Torrance,34.6346444,-105.8468361,37218
Grant,32.732087,-108.3815043,37880
Otero,32.5887764,-105.7810785,42752
San Juan,36.5116245,-108.3245778,50582
Roosevelt,34.0214569,-103.4827248,40775
Curry,34.5729841,-103.3460546,46182
Taos,36.5765287,-105.6379865,36758
Hidalgo,31.8996575,-108.7457292,36339
Eddy,32.4578575,-104.3064708,62982
De Baca,34.3514285,-104.4015274,31028
Cibola,34.93205,-108.0002545,37368
Quay,35.1070184,-103.5480712,27075
Colfax,36.6129625,-104.6401256,33783
Los Alamos,35.8700469,-106.3079679,115248
Bernalillo,35.0540019,-106.6690645,51643
Dona Ana,32.3509119,-106.8321821,39164
Chaves,33.3616045,-104.4698374,43197
Valencia,34.7168404,-106.8065821,45084
Rio Arriba,36.5096687,-106.6939829,37908
San Miguel,35.4768758,-104.8035146,31660
Catron,33.9018135,-108.3920974,42480
Sandoval,35.6850734,-106.8826177,59420
Santa Fe,35.5137223,-105.9664409,59192
Socorro,33.9916142,-106.9390026,36146
Lincoln,33.7409407,-105.4490834,42267
McKinley,35.5737323,-108.2553073,31674
Luna,32.1844822,-107.7466387,27377
Mora,35.9828413,-104.9218975,26968
Union,36.4880853,-103.4757229,37936
